날짜,역명,Passengers,Weekend,Post,Year,Date
2022-01-03,녹사평(용산구청),1358,0,0,2022,1990-01-03
2022-01-03,삼각지,2935,0,0,2022,1990-01-03
2022-01-03,신용산,7588,0,0,2022,1990-01-03
2022-01-04,녹사평(용산구청),1315,0,0,2022,1990-01-04
2022-01-04,삼각지,3147,0,0,2022,1990-01-04
2022-01-04,신용산,7600,0,0,2022,1990-01-04
2022-01-05,녹사평(용산구청),1306,0,0,2022,1990-01-05
2022-01-05,삼각지,3074,0,0,2022,1990-01-05
2022-01-05,신용산,7579,0,0,2022,1990-01-05
2022-01-06,녹사평(용산구청),1306,0,0,2022,1990-01-06
2022-01-06,삼각지,3170,0,0,2022,1990-01-06
2022-01-06,신용산,7530,0,0,2022,1990-01-06
2022-01-07,녹사평(용산구청),1311,0,0,2022,1990-01-07
2022-01-07,삼각지,3013,0,0,2022,1990-01-07
2022-01-07,신용산,7070,0,0,2022,1990-01-07
2022-01-10,녹사평(용산구청),1307,0,0,2022,1990-01-10
2022-01-10,삼각지,3023,0,0,2022,1990-01-10
2022-01-10,신용산,7801,0,0,2022,1990-01-10
2022-01-11,녹사평(용산구청),1294,0,0,2022,1990-01-11
2022-01-11,삼각지,3254,0,0,2022,1990-01-11
2022-01-11,신용산,7866,0,0,2022,1990-01-11
2022-01-12,녹사평(용산구청),1289,0,0,2022,1990-01-12
2022-01-12,삼각지,3147,0,0,2022,1990-01-12
2022-01-12,신용산,7636,0,0,2022,1990-01-12
2022-01-13,녹사평(용산구청),1268,0,0,2022,1990-01-13
2022-01-13,삼각지,3235,0,0,2022,1990-01-13
2022-01-13,신용산,7443,0,0,2022,1990-01-13
2022-01-14,녹사평(용산구청),1219,0,0,2022,1990-01-14
2022-01-14,삼각지,3080,0,0,2022,1990-01-14
2022-01-14,신용산,6766,0,0,2022,1990-01-14
2022-01-17,녹사평(용산구청),1286,0,0,2022,1990-01-17
2022-01-17,삼각지,2937,0,0,2022,1990-01-17
2022-01-17,신용산,7668,0,0,2022,1990-01-17
2022-01-18,녹사평(용산구청),1346,0,0,2022,1990-01-18
2022-01-18,삼각지,3196,0,0,2022,1990-01-18
2022-01-18,신용산,7872,0,0,2022,1990-01-18
2022-01-19,녹사평(용산구청),1363,0,0,2022,1990-01-19
2022-01-19,삼각지,3344,0,0,2022,1990-01-19
2022-01-19,신용산,7909,0,0,2022,1990-01-19
2022-01-20,녹사평(용산구청),1349,0,0,2022,1990-01-20
2022-01-20,삼각지,3202,0,0,2022,1990-01-20
2022-01-20,신용산,7805,0,0,2022,1990-01-20
