,일자,요일,시점명,08시,09시,10시
50598,20220511,수,한남대교남단,41.0,19.43,24.82
52016,20220511,수,동작대교남단,59.0,56.69,57.64
52449,20220511,수,반포대교남단,51.56,47.25,47.4
53680,20220511,수,한강대교남단교차로,19.87,12.92,13.93
55647,20220512,목,한남대교남단,40.32,20.16,20.03
57065,20220512,목,동작대교남단,56.800000000000004,51.03,57.33
57498,20220512,목,반포대교남단,50.95,45.33,48.6
58729,20220512,목,한강대교남단교차로,22.13,13.26,14.36
60696,20220513,금,한남대교남단,33.29,23.03,47.22
62114,20220513,금,동작대교남단,63.92,61.08,61.7
62547,20220513,금,반포대교남단,51.84,47.76,48.42
63778,20220513,금,한강대교남단교차로,23.43,16.45,23.02
75843,20220516,월,한남대교남단,42.27,17.8,25.39
77259,20220516,월,동작대교남단,64.17,61.33,61.14
77692,20220516,월,반포대교남단,50.11,46.910000000000004,48.4
78923,20220516,월,한강대교남단교차로,20.26,12.47,14.02
80890,20220517,화,한남대교남단,30.72,15.83,21.73
82306,20220517,화,동작대교남단,64.28,62.0,60.22
82739,20220517,화,반포대교남단,50.14,46.94,48.69
83970,20220517,화,한강대교남단교차로,21.97,13.18,21.48
85937,20220518,수,한남대교남단,31.720000000000002,16.4,21.48
87355,20220518,수,동작대교남단,63.690000000000005,61.47,58.03
87788,20220518,수,반포대교남단,51.09,44.38,43.1
89019,20220518,수,한강대교남단교차로,21.77,12.89,16.21
90986,20220519,목,한남대교남단,37.92,24.14,23.06
92404,20220519,목,동작대교남단,64.25,61.0,61.86
92837,20220519,목,반포대교남단,51.42,47.2,48.980000000000004
94068,20220519,목,한강대교남단교차로,23.56,13.69,16.66
96035,20220520,금,한남대교남단,38.15,22.400000000000002,28.59
97453,20220520,금,동작대교남단,62.86,62.22,62.940000000000005
97886,20220520,금,반포대교남단,49.77,49.08,49.64
99117,20220520,금,한강대교남단교차로,23.82,16.69,18.56
111182,20220523,월,한남대교남단,30.5,22.69,39.74
112600,20220523,월,동작대교남단,63.58,62.31,62.440000000000005
113033,20220523,월,반포대교남단,49.93,47.03,49.18
114264,20220523,월,한강대교남단교차로,19.55,12.22,15.870000000000001
116231,20220524,화,한남대교남단,33.61,17.07,36.97
117649,20220524,화,동작대교남단,64.78,60.25,62.0
118082,20220524,화,반포대교남단,51.77,48.03,49.04
119313,20220524,화,한강대교남단교차로,20.64,13.09,14.3
121280,20220525,수,한남대교남단,35.9,17.53,24.560000000000002
122698,20220525,수,동작대교남단,63.2,61.06,61.64
123131,20220525,수,반포대교남단,50.86,46.32,48.730000000000004
124362,20220525,수,한강대교남단교차로,23.23,15.5,16.56
126329,20220526,목,한남대교남단,40.78,17.87,23.11
127747,20220526,목,동작대교남단,63.31,61.86,60.08
128180,20220526,목,반포대교남단,50.56,47.04,49.370000000000005
129411,20220526,목,한강대교남단교차로,20.78,12.15,11.44
131378,20220527,금,한남대교남단,40.63,24.67,42.33
132796,20220527,금,동작대교남단,62.58,60.83,60.95
133229,20220527,금,반포대교남단,51.19,49.13,49.79
134460,20220527,금,한강대교남단교차로,19.02,14.1,16.97
146525,20220530,월,한남대교남단,31.720000000000002,17.75,25.01
147943,20220530,월,동작대교남단,63.11,61.61,61.22
148376,20220530,월,반포대교남단,47.14,44.46,47.34
149607,20220530,월,한강대교남단교차로,19.46,11.66,15.81
