,일자,요일,시점명,08시,09시,10시
97817,20220420,수,반포대교남단,51.27,48.120000000000005,50.42
102866,20220421,목,반포대교남단,51.21,42.44,48.19
107915,20220422,금,반포대교남단,50.78,47.300000000000004,49.32
123062,20220425,월,반포대교남단,48.68,46.59,48.14
128111,20220426,화,반포대교남단,51.27,46.79,49.39
133160,20220427,수,반포대교남단,51.67,48.72,48.49
138209,20220428,목,반포대교남단,51.02,47.08,48.51
143255,20220429,금,반포대교남단,48.06,44.550000000000004,48.34
7014,20220502,월,반포대교남단,49.35,45.87,49.13
12063,20220503,화,반포대교남단,51.47,48.1,45.7
17110,20220504,수,반포대교남단,51.56,47.33,48.46
27206,20220506,금,반포대교남단,52.82,50.19,49.92
42353,20220509,월,반포대교남단,48.38,39.67,46.42
47400,20220510,화,반포대교남단,51.44,46.45,46.94
52449,20220511,수,반포대교남단,51.56,47.25,47.4
57498,20220512,목,반포대교남단,50.95,45.33,48.6
62547,20220513,금,반포대교남단,51.84,47.76,48.42
77692,20220516,월,반포대교남단,50.11,46.910000000000004,48.4
82739,20220517,화,반포대교남단,50.14,46.94,48.69
87788,20220518,수,반포대교남단,51.09,44.38,43.1
92837,20220519,목,반포대교남단,51.42,47.2,48.980000000000004
97886,20220520,금,반포대교남단,49.77,49.08,49.64
113033,20220523,월,반포대교남단,49.93,47.03,49.18
118082,20220524,화,반포대교남단,51.77,48.03,49.04
123131,20220525,수,반포대교남단,50.86,46.32,48.730000000000004
128180,20220526,목,반포대교남단,50.56,47.04,49.370000000000005
133229,20220527,금,반포대교남단,51.19,49.13,49.79
148376,20220530,월,반포대교남단,47.14,44.46,47.34
