,일자,요일,시점명,08시,09시,10시
97384,20220420,수,동작대교남단,58.83,56.64,56.89
102433,20220421,목,동작대교남단,57.08,57.22,56.17
107482,20220422,금,동작대교남단,57.56,56.64,57.53
122629,20220425,월,동작대교남단,58.56,55.64,56.2
127678,20220426,화,동작대교남단,58.45,55.81,56.53
132727,20220427,수,동작대교남단,58.03,57.03,57.42
137776,20220428,목,동작대교남단,58.19,56.97,57.39
142822,20220429,금,동작대교남단,56.72,56.94,56.44
6581,20220502,월,동작대교남단,58.53,57.53,57.03
11630,20220503,화,동작대교남단,58.58,56.56,58.44
16677,20220504,수,동작대교남단,58.08,57.56,57.42
26773,20220506,금,동작대교남단,58.89,56.56,58.06
41920,20220509,월,동작대교남단,58.44,56.67,57.2
46967,20220510,화,동작대교남단,58.5,57.72,57.78
52016,20220511,수,동작대교남단,59.0,56.69,57.64
57065,20220512,목,동작대교남단,56.800000000000004,51.03,57.33
62114,20220513,금,동작대교남단,63.92,61.08,61.7
77259,20220516,월,동작대교남단,64.17,61.33,61.14
82306,20220517,화,동작대교남단,64.28,62.0,60.22
87355,20220518,수,동작대교남단,63.690000000000005,61.47,58.03
92404,20220519,목,동작대교남단,64.25,61.0,61.86
97453,20220520,금,동작대교남단,62.86,62.22,62.940000000000005
112600,20220523,월,동작대교남단,63.58,62.31,62.440000000000005
117649,20220524,화,동작대교남단,64.78,60.25,62.0
122698,20220525,수,동작대교남단,63.2,61.06,61.64
127747,20220526,목,동작대교남단,63.31,61.86,60.08
132796,20220527,금,동작대교남단,62.58,60.83,60.95
147943,20220530,월,동작대교남단,63.11,61.61,61.22
