,일자,요일,시점명,08시,09시,10시
95966,20220420,수,한남대교남단,37.79,20.53,24.18
101015,20220421,목,한남대교남단,38.300000000000004,18.09,21.47
106064,20220422,금,한남대교남단,39.81,22.52,33.71
121211,20220425,월,한남대교남단,29.080000000000002,17.01,30.85
126260,20220426,화,한남대교남단,35.5,19.12,28.59
131309,20220427,수,한남대교남단,40.230000000000004,21.26,24.91
136358,20220428,목,한남대교남단,38.160000000000004,19.35,24.39
141407,20220429,금,한남대교남단,40.33,20.76,27.53
5163,20220502,월,한남대교남단,34.14,15.5,22.88
10212,20220503,화,한남대교남단,40.9,17.77,28.86
15261,20220504,수,한남대교남단,36.33,17.5,22.81
25355,20220506,금,한남대교남단,55.47,47.08,54.1
40502,20220509,월,한남대교남단,30.79,23.150000000000002,40.11
45551,20220510,화,한남대교남단,41.38,20.72,31.78
50598,20220511,수,한남대교남단,41.0,19.43,24.82
55647,20220512,목,한남대교남단,40.32,20.16,20.03
60696,20220513,금,한남대교남단,33.29,23.03,47.22
75843,20220516,월,한남대교남단,42.27,17.8,25.39
80890,20220517,화,한남대교남단,30.72,15.83,21.73
85937,20220518,수,한남대교남단,31.720000000000002,16.4,21.48
90986,20220519,목,한남대교남단,37.92,24.14,23.06
96035,20220520,금,한남대교남단,38.15,22.400000000000002,28.59
111182,20220523,월,한남대교남단,30.5,22.69,39.74
116231,20220524,화,한남대교남단,33.61,17.07,36.97
121280,20220525,수,한남대교남단,35.9,17.53,24.560000000000002
126329,20220526,목,한남대교남단,40.78,17.87,23.11
131378,20220527,금,한남대교남단,40.63,24.67,42.33
146525,20220530,월,한남대교남단,31.720000000000002,17.75,25.01
