,일자,요일,지점명,8시,9시,10시
4341,20220502,월,한강대교,3093.0,2939.0,2820.0
4589,20220502,월,한남대교,5320.0,4842.0,4404.0
4403,20220502,월,동작대교,,,
4527,20220502,월,잠수교,560.0,387.0,470.0
4465,20220502,월,반포대교,3861.0,3358.0,2954.0
4404,20220503,화,동작대교,2221.0,1742.0,1602.0
4590,20220503,화,한남대교,5807.0,4974.0,5026.0
4528,20220503,화,잠수교,480.0,372.0,469.0
4342,20220503,화,한강대교,3270.0,3091.0,2910.0
4466,20220503,화,반포대교,3586.0,3261.0,3028.0
4467,20220504,수,반포대교,3696.0,3278.0,2969.0
4529,20220504,수,잠수교,524.0,435.0,383.0
4405,20220504,수,동작대교,2303.0,1782.0,1722.0
4343,20220504,수,한강대교,3424.0,3068.0,2750.0
4591,20220504,수,한남대교,5678.0,5132.0,4786.0
4531,20220506,금,잠수교,470.0,401.0,481.0
4469,20220506,금,반포대교,3243.0,3176.0,3012.0
4407,20220506,금,동작대교,1657.0,1544.0,1662.0
4345,20220506,금,한강대교,2827.0,2853.0,2894.0
4593,20220506,금,한남대교,5013.0,4880.0,5066.0
4596,20220509,월,한남대교,5393.0,4723.0,4623.0
4472,20220509,월,반포대교,3474.0,3248.0,2649.0
4348,20220509,월,한강대교,2993.0,3094.0,2935.0
4534,20220509,월,잠수교,567.0,453.0,464.0
4410,20220509,월,동작대교,2235.0,1570.0,1345.0
4349,20220510,화,한강대교,3305.0,3058.0,3175.0
4535,20220510,화,잠수교,514.0,352.0,403.0
4597,20220510,화,한남대교,5722.0,5243.0,4947.0
4411,20220510,화,동작대교,2334.0,1849.0,1549.0
4473,20220510,화,반포대교,3787.0,3421.0,3057.0
4474,20220511,수,반포대교,3654.0,3311.0,2926.0
4598,20220511,수,한남대교,5706.0,5374.0,5317.0
4536,20220511,수,잠수교,501.0,464.0,508.0
4350,20220511,수,한강대교,3224.0,3007.0,2891.0
4412,20220511,수,동작대교,2312.0,1656.0,1474.0
4599,20220512,목,한남대교,5534.0,5321.0,4807.0
4475,20220512,목,반포대교,3645.0,3222.0,3066.0
4413,20220512,목,동작대교,2283.0,1721.0,1502.0
4537,20220512,목,잠수교,490.0,418.0,444.0
4351,20220512,목,한강대교,2798.0,2982.0,2902.0
4476,20220513,금,반포대교,3539.0,2989.0,2966.0
4600,20220513,금,한남대교,5450.0,4823.0,4755.0
4538,20220513,금,잠수교,494.0,401.0,489.0
4414,20220513,금,동작대교,2228.0,1526.0,1530.0
4352,20220513,금,한강대교,2834.0,2968.0,3048.0
4603,20220516,월,한남대교,5676.0,5011.0,4764.0
4541,20220516,월,잠수교,594.0,451.0,524.0
4479,20220516,월,반포대교,3618.0,3167.0,2836.0
4417,20220516,월,동작대교,2327.0,1671.0,1421.0
4355,20220516,월,한강대교,,,
4480,20220517,화,반포대교,3674.0,3179.0,2968.0
4418,20220517,화,동작대교,2192.0,1618.0,1549.0
4356,20220517,화,한강대교,,,
4542,20220517,화,잠수교,561.0,500.0,451.0
4604,20220517,화,한남대교,5682.0,5393.0,4938.0
4543,20220518,수,잠수교,538.0,435.0,450.0
4605,20220518,수,한남대교,5511.0,5179.0,4863.0
4419,20220518,수,동작대교,2271.0,2099.0,1610.0
4357,20220518,수,한강대교,,,
4481,20220518,수,반포대교,3603.0,2980.0,2989.0
4420,20220519,목,동작대교,2176.0,1739.0,1574.0
4544,20220519,목,잠수교,513.0,417.0,474.0
4358,20220519,목,한강대교,,,
4482,20220519,목,반포대교,3514.0,3196.0,2960.0
4606,20220519,목,한남대교,5464.0,5296.0,5008.0
4607,20220520,금,한남대교,5595.0,5018.0,4889.0
4359,20220520,금,한강대교,,,
4545,20220520,금,잠수교,520.0,479.0,555.0
4483,20220520,금,반포대교,3442.0,3252.0,2954.0
4421,20220520,금,동작대교,2030.0,1618.0,1607.0
4424,20220523,월,동작대교,2294.0,1698.0,1354.0
4486,20220523,월,반포대교,3701.0,3154.0,2855.0
4362,20220523,월,한강대교,,,
4548,20220523,월,잠수교,543.0,478.0,501.0
4610,20220523,월,한남대교,4991.0,5025.0,4735.0
4549,20220524,화,잠수교,517.0,443.0,520.0
4363,20220524,화,한강대교,,,
4487,20220524,화,반포대교,3584.0,3347.0,2942.0
4425,20220524,화,동작대교,2297.0,1715.0,1532.0
4611,20220524,화,한남대교,5297.0,5091.0,4750.0
4550,20220525,수,잠수교,581.0,525.0,505.0
4488,20220525,수,반포대교,3664.0,3219.0,2986.0
4364,20220525,수,한강대교,,,
4426,20220525,수,동작대교,2349.0,1669.0,1533.0
4612,20220525,수,한남대교,5564.0,5181.0,4807.0
4551,20220526,목,잠수교,471.0,439.0,509.0
4427,20220526,목,동작대교,2276.0,1838.0,1575.0
4489,20220526,목,반포대교,3692.0,3310.0,2986.0
4365,20220526,목,한강대교,2879.0,3106.0,2611.0
4613,20220526,목,한남대교,5508.0,5231.0,4811.0
4428,20220527,금,동작대교,2200.0,1645.0,1510.0
4552,20220527,금,잠수교,498.0,507.0,492.0
4490,20220527,금,반포대교,3575.0,3172.0,3011.0
4614,20220527,금,한남대교,5489.0,4548.0,4843.0
4366,20220527,금,한강대교,3196.0,3018.0,2918.0
4555,20220530,월,잠수교,488.0,466.0,491.0
4431,20220530,월,동작대교,2457.0,1636.0,1442.0
4369,20220530,월,한강대교,2823.0,2753.0,2624.0
4493,20220530,월,반포대교,3617.0,3127.0,2806.0
4617,20220530,월,한남대교,5708.0,4990.0,4763.0
