,일자,요일,지점명,8시,9시,10시
4339,20220420,수,반포대교,3581.0,3185.0,3097.0
4340,20220421,목,반포대교,3691.0,3375.0,2638.0
4341,20220422,금,반포대교,3626.0,3057.0,2999.0
4344,20220425,월,반포대교,3343.0,2768.0,2633.0
4345,20220426,화,반포대교,3725.0,3321.0,2908.0
4346,20220427,수,반포대교,3699.0,3156.0,3061.0
4347,20220428,목,반포대교,3602.0,3237.0,3099.0
4348,20220429,금,반포대교,3558.0,2997.0,2929.0
4465,20220502,월,반포대교,3861.0,3358.0,2954.0
4466,20220503,화,반포대교,3586.0,3261.0,3028.0
4467,20220504,수,반포대교,3696.0,3278.0,2969.0
4469,20220506,금,반포대교,3243.0,3176.0,3012.0
4472,20220509,월,반포대교,3474.0,3248.0,2649.0
4473,20220510,화,반포대교,3787.0,3421.0,3057.0
4474,20220511,수,반포대교,3654.0,3311.0,2926.0
4475,20220512,목,반포대교,3645.0,3222.0,3066.0
4476,20220513,금,반포대교,3539.0,2989.0,2966.0
4479,20220516,월,반포대교,3618.0,3167.0,2836.0
4480,20220517,화,반포대교,3674.0,3179.0,2968.0
4481,20220518,수,반포대교,3603.0,2980.0,2989.0
4482,20220519,목,반포대교,3514.0,3196.0,2960.0
4483,20220520,금,반포대교,3442.0,3252.0,2954.0
4486,20220523,월,반포대교,3701.0,3154.0,2855.0
4487,20220524,화,반포대교,3584.0,3347.0,2942.0
4488,20220525,수,반포대교,3664.0,3219.0,2986.0
4489,20220526,목,반포대교,3692.0,3310.0,2986.0
4490,20220527,금,반포대교,3575.0,3172.0,3011.0
4493,20220530,월,반포대교,3617.0,3127.0,2806.0
