,일자,요일,지점명,8시,9시,10시
4219,20220420,수,한강대교,3200.0,3050.0,2915.0
4399,20220420,수,잠수교,487.0,401.0,415.0
4459,20220420,수,한남대교,5668.0,4913.0,4598.0
4279,20220420,수,동작대교,2293.0,1645.0,1499.0
4339,20220420,수,반포대교,3581.0,3185.0,3097.0
4460,20220421,목,한남대교,5773.0,5192.0,4518.0
4340,20220421,목,반포대교,3691.0,3375.0,2638.0
4280,20220421,목,동작대교,2192.0,1663.0,1405.0
4400,20220421,목,잠수교,521.0,419.0,430.0
4220,20220421,목,한강대교,3083.0,3004.0,2947.0
4461,20220422,금,한남대교,5521.0,4999.0,4513.0
4221,20220422,금,한강대교,3070.0,2871.0,2863.0
4281,20220422,금,동작대교,2079.0,1520.0,1514.0
4401,20220422,금,잠수교,495.0,475.0,494.0
4341,20220422,금,반포대교,3626.0,3057.0,2999.0
4404,20220425,월,잠수교,554.0,421.0,455.0
4464,20220425,월,한남대교,5207.0,4295.0,4181.0
4344,20220425,월,반포대교,3343.0,2768.0,2633.0
4224,20220425,월,한강대교,3255.0,2844.0,2780.0
4284,20220425,월,동작대교,2340.0,1558.0,1400.0
4405,20220426,화,잠수교,507.0,457.0,444.0
4345,20220426,화,반포대교,3725.0,3321.0,2908.0
4465,20220426,화,한남대교,5879.0,4798.0,4683.0
4285,20220426,화,동작대교,2321.0,1651.0,1384.0
4225,20220426,화,한강대교,3232.0,3117.0,2684.0
4466,20220427,수,한남대교,5660.0,5116.0,4683.0
4346,20220427,수,반포대교,3699.0,3156.0,3061.0
4286,20220427,수,동작대교,2312.0,1686.0,1470.0
4226,20220427,수,한강대교,3441.0,2871.0,2971.0
4406,20220427,수,잠수교,482.0,437.0,405.0
4227,20220428,목,한강대교,3407.0,2962.0,2965.0
4287,20220428,목,동작대교,2197.0,1506.0,1489.0
4407,20220428,목,잠수교,478.0,392.0,421.0
4347,20220428,목,반포대교,3602.0,3237.0,3099.0
4467,20220428,목,한남대교,5685.0,5182.0,4861.0
4288,20220429,금,동작대교,,,
4228,20220429,금,한강대교,3292.0,3016.0,3012.0
4348,20220429,금,반포대교,3558.0,2997.0,2929.0
4408,20220429,금,잠수교,532.0,456.0,489.0
4468,20220429,금,한남대교,5509.0,5098.0,4734.0
