,일자,요일,지점명,8시,9시,10시
4279,20220420,수,동작대교,2293.0,1645.0,1499.0
4280,20220421,목,동작대교,2192.0,1663.0,1405.0
4281,20220422,금,동작대교,2079.0,1520.0,1514.0
4284,20220425,월,동작대교,2340.0,1558.0,1400.0
4285,20220426,화,동작대교,2321.0,1651.0,1384.0
4286,20220427,수,동작대교,2312.0,1686.0,1470.0
4287,20220428,목,동작대교,2197.0,1506.0,1489.0
4288,20220429,금,동작대교,2237.5384615384614,1675.576923076923,1509.7692307692307
4403,20220502,월,동작대교,2237.5384615384614,1675.576923076923,1509.7692307692307
4404,20220503,화,동작대교,2221.0,1742.0,1602.0
4405,20220504,수,동작대교,2303.0,1782.0,1722.0
4407,20220506,금,동작대교,1657.0,1544.0,1662.0
4410,20220509,월,동작대교,2235.0,1570.0,1345.0
4411,20220510,화,동작대교,2334.0,1849.0,1549.0
4412,20220511,수,동작대교,2312.0,1656.0,1474.0
4413,20220512,목,동작대교,2283.0,1721.0,1502.0
4414,20220513,금,동작대교,2228.0,1526.0,1530.0
4417,20220516,월,동작대교,2327.0,1671.0,1421.0
4418,20220517,화,동작대교,2192.0,1618.0,1549.0
4419,20220518,수,동작대교,2271.0,2099.0,1610.0
4420,20220519,목,동작대교,2176.0,1739.0,1574.0
4421,20220520,금,동작대교,2030.0,1618.0,1607.0
4424,20220523,월,동작대교,2294.0,1698.0,1354.0
4425,20220524,화,동작대교,2297.0,1715.0,1532.0
4426,20220525,수,동작대교,2349.0,1669.0,1533.0
4427,20220526,목,동작대교,2276.0,1838.0,1575.0
4428,20220527,금,동작대교,2200.0,1645.0,1510.0
4431,20220530,월,동작대교,2457.0,1636.0,1442.0
