,일자,요일,지점명,8시,9시,10시
4219,20220420,수,한강대교,3200.0,3050.0,2915.0
4220,20220421,목,한강대교,3083.0,3004.0,2947.0
4221,20220422,금,한강대교,3070.0,2871.0,2863.0
4224,20220425,월,한강대교,3255.0,2844.0,2780.0
4225,20220426,화,한강대교,3232.0,3117.0,2684.0
4226,20220427,수,한강대교,3441.0,2871.0,2971.0
4227,20220428,목,한강대교,3407.0,2962.0,2965.0
4228,20220429,금,한강대교,3292.0,3016.0,3012.0
4341,20220502,월,한강대교,3093.0,2939.0,2820.0
4342,20220503,화,한강대교,3270.0,3091.0,2910.0
4343,20220504,수,한강대교,3424.0,3068.0,2750.0
4345,20220506,금,한강대교,2827.0,2853.0,2894.0
4348,20220509,월,한강대교,2993.0,3094.0,2935.0
4349,20220510,화,한강대교,3305.0,3058.0,3175.0
4350,20220511,수,한강대교,3224.0,3007.0,2891.0
4351,20220512,목,한강대교,2798.0,2982.0,2902.0
4352,20220513,금,한강대교,2834.0,2968.0,3048.0
4355,20220516,월,한강대교,3132.3,2983.6,2880.75
4356,20220517,화,한강대교,3132.3,2983.6,2880.75
4357,20220518,수,한강대교,3132.3,2983.6,2880.75
4358,20220519,목,한강대교,3132.3,2983.6,2880.75
4359,20220520,금,한강대교,3132.3,2983.6,2880.75
4362,20220523,월,한강대교,3132.3,2983.6,2880.75
4363,20220524,화,한강대교,3132.3,2983.6,2880.75
4364,20220525,수,한강대교,3132.3,2983.6,2880.75
4365,20220526,목,한강대교,2879.0,3106.0,2611.0
4366,20220527,금,한강대교,3196.0,3018.0,2918.0
4369,20220530,월,한강대교,2823.0,2753.0,2624.0
