,일자,요일,지점명,8시,9시,10시
4399,20220420,수,잠수교,487.0,401.0,415.0
4400,20220421,목,잠수교,521.0,419.0,430.0
4401,20220422,금,잠수교,495.0,475.0,494.0
4404,20220425,월,잠수교,554.0,421.0,455.0
4405,20220426,화,잠수교,507.0,457.0,444.0
4406,20220427,수,잠수교,482.0,437.0,405.0
4407,20220428,목,잠수교,478.0,392.0,421.0
4408,20220429,금,잠수교,532.0,456.0,489.0
4527,20220502,월,잠수교,560.0,387.0,470.0
4528,20220503,화,잠수교,480.0,372.0,469.0
4529,20220504,수,잠수교,524.0,435.0,383.0
4531,20220506,금,잠수교,470.0,401.0,481.0
4534,20220509,월,잠수교,567.0,453.0,464.0
4535,20220510,화,잠수교,514.0,352.0,403.0
4536,20220511,수,잠수교,501.0,464.0,508.0
4537,20220512,목,잠수교,490.0,418.0,444.0
4538,20220513,금,잠수교,494.0,401.0,489.0
4541,20220516,월,잠수교,594.0,451.0,524.0
4542,20220517,화,잠수교,561.0,500.0,451.0
4543,20220518,수,잠수교,538.0,435.0,450.0
4544,20220519,목,잠수교,513.0,417.0,474.0
4545,20220520,금,잠수교,520.0,479.0,555.0
4548,20220523,월,잠수교,543.0,478.0,501.0
4549,20220524,화,잠수교,517.0,443.0,520.0
4550,20220525,수,잠수교,581.0,525.0,505.0
4551,20220526,목,잠수교,471.0,439.0,509.0
4552,20220527,금,잠수교,498.0,507.0,492.0
4555,20220530,월,잠수교,488.0,466.0,491.0
